question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,choice_a,choice_b,gap1_correct,gap1_allow_repeat,gap2_correct,gap2_allow_repeat,gap3_correct,gap3_allow_repeat,gap4_correct,gap4_allow_repeat,gap5_correct,gap5_allow_repeat,explanation
AB_ITNIC_REQ_INVSCHEME_001,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|seis|vct,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,1,"EIS income tax relief is given as a {gap1} on qualifying subscriptions, and the maximum annual subscription eligible for relief is {gap2}.",2,tax reducer,1000000,A,N,B,N,,,,,,,"EIS IT relief is a tax reducer, and the annual subscription cap for relief is £1,000,000."
AB_ITNIC_REQ_INVSCHEME_002,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|conditions,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,2,"For EIS, the investor must subscribe in {gap1} for newly issued ordinary shares, and must not own more than {gap2} of the share capital.",2,0.3,cash,B,N,A,N,,,,,,,"EIS requires a cash subscription for new ordinary shares, and connection includes holdings above 30%."
AB_ITNIC_REQ_INVSCHEME_003,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|withdrawal,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,3,"If EIS shares are sold at a {gap1}, all relief may be withdrawn; if sold at a loss, withdrawn relief is based on proceeds × {gap2} (or original lower rate).",2,0.3,gain,B,N,A,N,,,,,,,"Your notes state gain disposal can trigger full withdrawal, while loss disposal uses proceeds × 30% (or lower original relief rate)."
AB_ITNIC_REQ_INVSCHEME_004,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|cgt,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,4,"For EIS CGT treatment, gains are exempt if shares are held for {gap1} or more, but taxed normally if held for {gap2} than three years.",2,less,three years,B,N,A,N,,,,,,,EIS disposal gains are exempt at 3+ years; under 3 years they are taxed normally.
AB_ITNIC_REQ_INVSCHEME_005,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,seis|limits,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,5,"SEIS income tax relief applies to subscriptions up to {gap1} per tax year, at a relief rate of {gap2}.",2,0.5,200000,B,N,A,N,,,,,,,SEIS has a lower annual subscription cap than EIS and gives relief at 50%.
AB_ITNIC_REQ_INVSCHEME_006,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,seis|criteria,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,6,"Under SEIS, being a {gap1} is permitted, but being connected through employment or ownership above 30% is {gap2}.",2,not permitted,director,B,N,A,N,,,,,,,"Your notes explicitly allow being a director for SEIS, but not connection via employee status or >30% ownership."
AB_ITNIC_REQ_INVSCHEME_007,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,vct|relief,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,7,VCT income tax relief is available on subscriptions up to {gap1} each tax year at {gap2} of the amount subscribed (subject to tax liability cap).,2,0.3,200000,B,N,A,N,,,,,,,"VCT IT relief has a £200,000 annual subscription cap and relief rate of 30%."
AB_ITNIC_REQ_INVSCHEME_008,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,vct|cgt,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,8,"For VCT shares, disposal gains are {gap1} from CGT and disposal losses are {gap2} allowable.",2,not,exempt,B,N,A,N,,,,,,,"VCT gains are exempt and losses are not allowable, with no minimum holding period for that CGT treatment."
AB_ITNIC_REQ_INVSCHEME_009,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,ordering|reducers,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,9,"Where more than one investment-scheme income tax reducer is available, the deduction order is {gap1} first, then EIS, then {gap2}.",2,SEIS,VCT,B,N,A,N,,,,,,,"Reducer order in your notes is VCT first, EIS second, SEIS third."
AB_ITNIC_REQ_INVSCHEME_010,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,timing|reinvestment,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,10,EIS deferral relief requires reinvestment within {gap1} year before and {gap2} years after disposal of a chargeable asset.,2,three,one,B,N,A,N,,,,,,,The EIS reinvestment timing window in your notes is one year before to three years after disposal.
